filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.5835cfcbf8b8a5bb58038ad661a313b9,1
session.first:true,1.7bdccc3a9b04522f4beb34c14432863f,1
session.first:true,1.66651fc688074af19239e68df8c7886f,1
session.first:true,1.c0fbd47488906d320486549ce3f7283f,1
session.first:true,1.72ff2ae2317a200bac580bcaafd4a875,1
session.first:true,1.18e293c67459e839f3d364383b2c730d,1
session.first:true,1.a0d900c2e47639699981034e56a7d450,1
session.first:true,1.ddb723c03b48e5f101372ef87b117414,1
session.first:true,1.fb8707f9ba7eccc4e1748055c7631979,1
session.first:true,1.489771e8a5a0aaba504c9ba3e93485b5,1
session.first:true,1.9a18cec42f13e2a825cbee2c4a181e67,1
session.first:true,1.2aa60a2703c647a28908a9ad86ca9433,1
session.first:true,1.b0cac82d173b5f792a3343f7703715df,1
session.first:true,1.ad7a10cae0964af070ad63e2db672ba0,1
session.first:true,1.42834529cd135ec5603e26396f3812f8,1
session.first:true,1.b75011dbc8a651c9d382e26ef9ab123b,1
session.first:true,1.dce267552e27fff3cddfc78b5b70610c,1
session.first:true,1.1c4b590fcb949a7e869b91527a66bd6a,1
session.first:true,1.2bf9d2d39b63022c8d9b401ae2148bf0,1
session.first:true,1.126248ef4d4768ba55c5e062ca866c04,1
session.first:true,1.345a358d983b688326d2a4a6f94c823b,1
session.first:true,1.1b81906194bbfdf687df0e104a963361,1
session.first:true,1.08946be1757391ad681c3a05afe92f93,1
session.first:true,1.0f258fb6a2d1922d059b945f1c287ffc,1
session.first:true,1.d64c6a7535f483809cc401a899cebe00,1
session.first:true,1.d31148d18112e461eb30acf021b00c25,1
session.first:true,1.7edcd3ad7d4abec115d47d130c4b9f0c,1
session.first:true,1.bc6a8eaf3e1d0674f89ef33084e3aca3,1
session.first:true,1.abc6f78f36078eec73c94ced13ceb8b6,1
session.first:true,1.d169560d7efff0dd1bbfb0ace571168f,1
session.first:true,1.590cea7baede2ed52a413eeb577db7da,1
session.first:true,1.0ecd05ecffa8a853aeec70157bef7cad,1
session.first:true,1.b12a4ffc4d2e1a0bc83f840291b3c350,1
session.first:true,1.8aff8cfbd6909bf2f7b7461d37bd1f6b,1
session.first:true,1.46c275bff513660afb4da7dbb3910ba0,1
session.first:true,1.2bece6f48ab1537ed60cd095c32287bc,1
session.first:true,1.5d3b41273b3bd3126ac1e45bc37e8a83,1
session.first:true,1.4af1fb2de4c2c2d680ad19005a6febfd,1
session.first:true,1.6dc6d26ff4818b924f30fee78eb94748,1
session.first:true,1.5b4483ad7bc4661f5bde00079aca5efe,1
session.first:true,1.b92dcbe6e63f137fa800353b4b54efda,1
session.first:true,1.e311698459af43ee77b825280e9a1046,1
session.first:true,1.d89276d4b5b0737ee2bd7494a65b7f44,1
session.first:true,1.59cd21d92ad02b5af996741996464b30,1
