filters,Top 50000000 fingerprint.raw,Top 50000000 request.ip.raw,Count
session.first:true,1.04cdc3ec73b37f6239b06709b34e4ae7,172.56.12.56,1
session.first:true,1.04cffb9d1d15877053b38a5a4878fba0,172.56.9.142,1
session.first:true,1.04da09fab0b86889f326e772cd59d2bc,205.252.35.8,1
session.first:true,1.04e982c4347d8d367c75ebdea8dd78e0,172.10.184.251,1
session.first:true,1.04ea73f1752f9c6d40d652c2b760ed3e,162.218.218.163,1
session.first:true,1.04f1e4084dc915c9fa5d5ad5861fad56,24.31.245.55,1
session.first:true,1.04f4756a1f67f887d2e6de66d6234207,218.25.168.2,1
session.first:true,1.04f943aa1c348617a90db3070f9c2bc9,108.162.56.170,1
session.first:true,1.0504757847944c302a0ca1e32eb0208e,39.180.250.26,1
session.first:true,1.05076658b915be9ac602849283d0e5ab,71.59.79.213,1
session.first:true,1.0507a600c00afd5cf55c5aea9b7347ef,209.255.144.41,1
session.first:true,1.050ac2643657327203889965b783bb9d,98.222.4.151,1
session.first:true,1.051971600209943ffd1805fd0510fae4,97.122.191.101,1
session.first:true,1.0549af0127b9a5b53a10372657e28153,206.40.111.98,1
session.first:true,1.054ad396536b3465ef8627c598527908,58.69.23.232,1
session.first:true,1.054d286984bf358bd40d9df7fd01514c,68.53.246.157,1
session.first:true,1.054da0f127c313aee428ce3155e195f4,173.58.84.123,1
session.first:true,1.05621cc1545ab5090adb0fb5bd74fb3a,184.60.136.148,1
session.first:true,1.0562f5d53b503718a37505b406f52dad,71.177.251.12,1
session.first:true,1.0564f3a28bad94b5faaa1373a7987041,69.76.8.120,1
session.first:true,1.057083d1da56ad7e824e3b3c8c8b41cf,98.233.249.72,1
session.first:true,1.05729efec9272f3c6dccdd73d5358aa8,71.193.161.169,1
session.first:true,1.057ecddf88daf2fc27410381d4ec245f,71.169.137.84,1
session.first:true,1.057ee0a8c51481e61471329b37a0881b,190.166.173.155,1
session.first:true,1.059c8072a9bff30812c4c21edf637e3f,108.9.137.141,1
session.first:true,1.059de3f6f6bc1f08992a8be91f46a009,173.175.113.180,1
session.first:true,1.05afd4f1ba0d6b3779d9cc5c3022a11b,52.8.14.89,1
session.first:true,1.05b3311529d2db1b47ced1c6fb30600d,96.230.124.6,1
session.first:true,1.05b98009bab77fea8908329ba887e652,76.255.150.194,1
session.first:true,1.05ca2b6633f1cd97daac645851954772,72.64.150.228,1
session.first:true,1.05cc86f40fc2d2536d582d21d59807b0,72.191.24.104,1
session.first:true,1.05d1af4b0ea81ce5fa9ddb92c7cffe99,198.190.223.3,1
session.first:true,1.05d44dbe4debe901416ec2fea85cae41,98.211.5.74,1
session.first:true,1.05d59b618cffec8080607188575efc55,65.31.36.170,1
session.first:true,1.05d82e8c52a60357984d00839781df87,173.175.111.127,1
session.first:true,1.05d91e1a7e7db9513cbaf65d07988652,67.255.9.136,1
session.first:true,1.05da133c643e5d5497d74734887ed332,198.134.105.189,1
session.first:true,1.05db39d17c079e13e5de4ec9cf15371e,114.69.13.27,1
session.first:true,1.05dd5045bb5e18153066448c095a2d55,73.12.232.134,1
session.first:true,1.05e30528263fa42e3080418533921f72,207.158.41.16,1
session.first:true,1.05e3d0f94aa3974dfa615186d544136e,96.27.1.126,1
session.first:true,1.05e793c585f7edb1c279fd9dd0eb42f3,74.70.61.151,1
session.first:true,1.05e83423a7fc7fb14f4b270677d86e75,75.90.166.39,1
session.first:true,1.05f6aaef7cb8eb26ef8a7b02a979eded,66.214.181.2,1
session.first:true,1.05faf69e901cce68539d3830d990d97c,173.93.177.127,1
session.first:true,1.05fcbc2f74d0afa5526070f8addbcee9,50.173.234.148,1
session.first:true,1.06031134b51a6b5a2c701853fd14910f,108.51.168.149,1
session.first:true,1.06076c0c7112316f3623b14c890bd948,72.224.254.39,1
session.first:true,1.060a47456acbc85b1bae53c107cb800c,66.169.166.158,1
session.first:true,1.0616843e07a8332f78eb9fa56c840755,75.67.250.160,1
session.first:true,1.061c99044f0ebfa7214195273ca07250,173.65.236.124,1
session.first:true,1.061d26eaa558f51d7d4d9a96a711cebb,72.52.65.100,1
session.first:true,1.06239ef41ebf7d061594d8f9af6978a8,107.142.201.192,1
session.first:true,1.06272095c6ba4b240d80da73a0505489,173.58.174.209,1
session.first:true,1.0632bb02d01fd06100c0e11f00a1e83b,71.3.98.241,1
session.first:true,1.063680e7ad85949bd43d60c7999a07f1,182.74.206.202,1
session.first:true,1.064140db4c3c055cae73af11ff461fa8,173.55.222.25,1
session.first:true,1.064650b881160b75208086444769828c,173.81.89.243,1
session.first:true,1.065298608a4c5c06debc7cac565edf9e,167.206.63.34,1
session.first:true,1.0653a684a46012a242547a6a8a6c6cee,75.68.32.254,1
session.first:true,1.06695f885404b9efbd9b2286a70c1c3a,75.110.2.229,1
session.first:true,1.066a63563d908000653d0d4a49f03059,24.0.48.56,1
session.first:true,1.066adec02415e18a88a49c118d9d71a2,98.180.217.190,1
session.first:true,1.0675ccefaac36ab6ac6649e5a0db28b2,24.159.101.50,1
session.first:true,1.067792f99ab864f7464b34bace1c5634,161.130.187.149,1
session.first:true,1.06785c7d384621d217333e61df868ad0,66.191.18.100,1
session.first:true,1.068ac5fab183ed196a76befc825109a8,76.125.209.36,1
session.first:true,1.0691d06b8660a62cbca530d119abe8b9,108.199.2.10,1
session.first:true,1.0691dc72ad61066190252b191b8d3c44,71.98.245.204,1
session.first:true,1.069fe8d545d6019aca48c55cebd3045b,173.26.190.69,1
session.first:true,1.06a44864419ca95af118d16f32bd8efe,76.116.111.72,1
session.first:true,1.06ade46b448e1141e06311ee41a3d7cf,107.9.202.231,1
session.first:true,1.06c058e9ac007bfd2caa7a2b71c438db,107.107.190.20,1
session.first:true,1.06c3e6f012079db2b9ca812529a03a91,156.3.149.11,1
session.first:true,1.06c3fbf1dc0df3ffe29ef08637729156,173.60.178.151,1
session.first:true,1.06cfa98c35b8abb6505373075d4ec413,107.194.13.133,1
session.first:true,1.06d021f7be4b0588ba1c5070511ca0c4,124.253.112.155,1
session.first:true,1.06d3f3616ee582a4b9ba544bbf69ed0a,70.246.141.237,1
session.first:true,1.06da538626e619e71f8cb26a1c2ad607,66.31.196.164,1
session.first:true,1.06dcc6e179d30eb426b30187ef3dc77e,24.14.122.75,1
session.first:true,1.06e17abbc614911d2c2c65f4eec47563,66.66.184.231,1
session.first:true,1.06e2c2d077b59297b40eafb7a01d9c78,24.107.115.117,1
session.first:true,1.06e3a4a46983d33d46077c6276c42e59,73.207.191.204,1
session.first:true,1.06e859af46833e3845c9b824759f5b04,69.28.35.60,1
session.first:true,1.06eacdf6e9f3b6439228207eacc1d16a,108.9.35.105,1
session.first:true,1.06ed2422dae94eb8194dcfc1e50d7fe8,54.185.78.88,1
session.first:true,1.06f2d1b11d6542f07d45923beb9f0f35,184.19.91.12,1
session.first:true,1.06f304d5937d066d4a915585e3bb731f,71.53.184.240,1
session.first:true,1.06f8105e7f809dd1f76b11bd366e8bdf,173.68.48.137,1
session.first:true,1.06fc2889547bdf6d9385af5399cfed31,184.155.218.67,1
session.first:true,1.06fcc13865037b6e6f3daf62a5162b84,142.68.146.179,1
session.first:true,1.06ffb1cd4e83fd2186a74e87bec339d7,45.48.174.236,1
session.first:true,1.070729bf38f9aeddd704e4f77772871a,142.105.181.150,1
session.first:true,1.070a97c234e7a9f9b911090a57b197c6,69.141.158.230,1
session.first:true,1.070aae3425edc88eeacd30bc4c05fca8,50.107.137.34,1
session.first:true,1.070ac1ddda45f50bcf7fc2ca9aeb4d19,38.114.99.2,1
session.first:true,1.0718b48aac2429111e12872d3fd15f3a,70.160.76.37,1
session.first:true,1.0719543539960ac8464cef1c6f918bba,76.100.133.148,1
session.first:true,1.07197aa60e92f2f369f229cb5a4909aa,71.75.253.187,1
session.first:true,1.071d729a83a9e867404fc6fae0203a89,67.251.126.72,1
session.first:true,1.071f7849872f402aa281727a5257d5f0,99.100.72.39,1
session.first:true,1.07225d920b992d06c4b32106b0787a8c,162.229.217.73,1
session.first:true,1.07310f34a262c36d7f1f44f48e045865,72.191.128.166,1
session.first:true,1.07356f1d3c8e360e1ab58ee12e960dac,108.171.98.193,1
session.first:true,1.073bd79172ebf9660c07c0c4e193a6fa,99.182.212.89,1
session.first:true,1.0745c27ec9cae1c076df750876474901,208.64.170.67,1
session.first:true,1.074e4fe0ca5382b544fe7daa62695344,68.9.113.46,1
session.first:true,1.0759499782a2635f9947778f61388e8a,75.139.150.94,1
session.first:true,1.0759b9d09976e90b0c210708ef749666,218.57.108.229,1
session.first:true,1.075b147fe55ef68b0b55af17dba05923,70.196.78.168,1
session.first:true,1.07643d0668bb994975673ce4a3691d65,46.120.159.47,1
session.first:true,1.07752720adc7b311c39fdcb7e13c3cf3,97.114.103.194,1
session.first:true,1.07788cea9a3fd9a4a01d31a780e72dc1,63.232.123.2,1
session.first:true,1.07788e3092c3b9e50223f020682ee2cb,69.133.103.97,1
session.first:true,1.077a6ba8a67d2be2464e4eaa0b3095b6,100.3.111.90,1
session.first:true,1.077bd76a93b2c876142e0213795cac83,199.83.220.235,1
session.first:true,1.077fd74f6cf1dbfc4f3f4a33397d6c0a,72.241.142.69,1
session.first:true,1.07821b2002c10d9d35029bbbc7642b72,50.45.57.183,1
session.first:true,1.078479bbca876864594ac1c1b5c98556,172.4.224.108,1
session.first:true,1.078b42a832c70696c8acf17d6cfc1c7d,107.147.18.149,1
