filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:false,1.25e4cb5492a9a32840388a67e6fde69b,1
session.first:false,1.7e477e88e0e5b6c5ad77afa6d5e70f63,1
session.first:false,1.3eb902b11b0b34aba990fd5479638131,1
session.first:false,1.489771e8a5a0aaba504c9ba3e93485b5,1
session.first:false,1.8634996ed6825ac5b0439079b28ad4be,1
session.first:false,1.34b950ae03951f439e000bd998fbf8de,1
session.first:false,1.4c0a2a2ea3425d179e5289cb1335c612,1
session.first:false,1.4e7f152e6dc3a23362e8b70a3930ff32,1
session.first:false,1.217430bc3c69ecebd693d654e37beaea,1
session.first:false,1.f48deb84c875fda8056572b72043a74b,1
session.first:false,1.105d270d53cf5aef9884552095f4613a,1
session.first:false,1.126248ef4d4768ba55c5e062ca866c04,1
session.first:false,1.3063c355017fa0124ccb0d325ee3c093,1
session.first:false,1.d67ac8a55d1b1be217eba15eea40a82c,1
session.first:false,1.74a6ce33d59a307ded1c63cf315985d6,1
session.first:false,1.80e8c0cc4072f7f80f1b3f6a47b3eba9,1
session.first:false,1.56e5052314aafd4c7f31e7a76c73a4b9,1
session.first:false,1.c0e89ac5c1a9f1c549e1634e7c7e0eaf,1
session.first:false,1.3ee6e3f19b6c29454a7984670f06ee02,1
session.first:false,1.118bdfc557f186305b4ebd03312ba3db,1
session.first:false,1.44ed6065a7eb008b0663b1fd0d8a80cc,1
session.first:false,1.e741530e8e4e88bdae2815bda5a9eff0,1
session.first:false,1.dfdf0b99ec82bd2d8d4fdb9486316bcb,1
session.first:false,1.d77c19efe180e05e78773824afd92318,1
session.first:false,1.09c268320d97a45b3469490371a615c0,1
session.first:false,1.47d2337f57c93ce728a570cdf2b4085f,1
session.first:false,1.5d3b41273b3bd3126ac1e45bc37e8a83,1
session.first:false,1.39c8ea3c17b049bd2323fa38fc089622,1
session.first:false,1.336af9568e2aa851e37f61e883760769,1
session.first:false,1.fe87e8ff6442cb0c221d677338b1fbe5,1
session.first:false,1.903af34ba66c4b74731dc33666a09d9a,1
session.first:false,1.eb00e12bbff99e35ef40279ffc64697d,1
session.first:false,1.105397e08353d221aa4598a6f37b498d,1
session.first:false,1.6e866d3dd11e8b2dbab27e056c5a619f,1
session.first:false,1.ae7c1a1b84fb0c14aa9f02c8bd783d20,1
session.first:false,1.dcbcd8b248e064519b073edec4d6f3a6,1
session.first:false,1.9e753fe853608d5cb1d1ccce5d465b05,1
session.first:false,1.d63822de056a6d362d72f02c7b49f986,1
session.first:false,1.3bfe1f70086378739195a5f3acf8b123,1
session.first:false,1.cc670d7efea5a58d7f545130dff43ed8,1
session.first:false,1.6deaafc79c1506ff9aec5f720543018a,1
session.first:false,1.a34593e53d125cc9f090b7c63b06aa9f,1
session.first:false,1.4e4256daf431b001859f38c7e02c0f1f,1
session.first:false,1.2c6236223ee00fae5df7574a0bbb1ca5,1
session.first:false,1.eaf2a174f4ec8394294652b464c6d364,1
session.first:false,1.2583dc870296b77b4887533d16bd4086,1
session.first:false,1.7b90536b608e9fb89299ad10207fd556,1
session.first:false,1.449eb3269124bba9f6e387193245efeb,1
session.first:false,1.cca0778eb2088c5d52c3feeb422137bc,1
session.first:false,1.cb576684ce1975ba6db8ff857190981c,1
session.first:false,1.8da535454d7192f1b57c80548a4aa831,1
session.first:false,1.6d7f8ebecc3a1e050a2e12a3f1f9025f,1
session.first:false,1.2d7c075ffbc2892d4b8a8336a55c5740,1
session.first:false,1.97a273ae5a386632a36c2b869ac12e75,1
session.first:false,1.4a2c967a62814e94a78794f5caab8f23,1
session.first:false,1.21be015afa0d81850dab57fd7dada85c,1
session.first:false,1.0666d4ae0aa9ad32649b2a08a25e3b3a,1
session.first:false,1.93a3b1bdb8c0ed8009fbb6e23f3863ab,1
session.first:false,1.6c6d7c9956c5e3759fd605a043b8ba72,1
session.first:false,1.0a85e10bb2ab2f233e64463553a74718,1
session.first:false,1.f73fba3e8b017ef0563c644ea2965735,1
session.first:false,1.9eb5a6febd25801f2c2632b9d38223d9,1
session.first:false,1.929a577b55c968393de604315e6601c4,1
session.first:false,1.bc31be331662b109dbf4f63fbc7b0ae5,1
session.first:false,1.d52c7a5471e1bf4f93b11713db2f7fca,1
session.first:false,1.5d92870225582a5306e56cfdcb255c46,1
session.first:false,1.91fc4dad248ff245bcb9d04e680888e3,1
session.first:false,1.2f85c8805b1663541bdcfae193b536ea,1
session.first:false,1.0538cedf93b3fa21de7321a86c0a62dd,1
session.first:false,1.01fcf82e35318460c339860440aae394,1
session.first:false,1.6f4a6412d4f873984dbf2630490b4249,1
session.first:false,1.d77b58a8d3dd0112efbe4a7edadbaf79,1
session.first:false,1.7e2eaac3de03a45aac0e4fe3e8937829,1
session.first:false,1.89aace33388137bce4f15fec760c8a18,1
session.first:false,1.071d26692a81a61e9dbed05e8cd82de7,1
session.first:false,1.450785ba04bd4a4c226f4cb17b3b51db,1
session.first:false,1.e65121c5d403f390eee643320c524275,1
session.first:false,1.0a24578dfc8d70ca30fb11fddd1a5b33,1
session.first:false,1.72402779759e2f924db95646e2c0ad68,1
session.first:false,1.d10453b62a08a529b69c6e21d5399477,1
session.first:false,1.e21152479786a27865c409b5a291a9ff,1
session.first:false,1.8fd032d3268393ab03944a6c66e11f4c,1
session.first:false,1.0420e21c7b127fc050b775725abb6b51,1
session.first:false,1.ccfa35f5ee64d250e6d2caa7fb10e651,1
session.first:false,1.3dcc20b25c70fe08a3c05a7800314459,1
session.first:false,1.9c15f4a5bbcc4669f7e9f707d7d7a2e3,1
session.first:false,1.81a5dc9890a7f25415176f33491d3a17,1
session.first:false,1.2b8abaf9ce33bcb7a713f8f6dcca2af0,1
session.first:false,1.0207d0effbc8eeaf4ef94f498a997f55,1
session.first:false,1.62a03311be6fcdcce5e7633d9a255222,1
session.first:false,1.99204c186b5a7bf0b3c7f6d418e018a0,1
session.first:false,1.6b83a3039e1bc11be1b734bd21ac7ab6,1
session.first:false,1.157ed7a4a712cf12ccdcbec9c27ce7ec,1
session.first:false,1.4b561ca00e778369ea076a86bde66655,1
session.first:false,1.6e0ea50e2011161ce590c22bb118ecba,1
session.first:false,1.2b47bc4e09f9eb3a5bbf1905dc30a01e,1
session.first:false,1.ff359d4b445681491d1f1f31381424e5,1
session.first:false,1.a5a2beff2740b40bfa09a08259f0ebf5,1
session.first:false,1.c1209b4fd162aeede8cfe6197b488dbc,1
session.first:false,1.8941057f92f6fefe2f4bb32d374a69e9,1
session.first:false,1.7f54dcad0bc6a0fe93fac011b73f5ec3,1
session.first:false,1.c10f6e89cbbb49158af35c818f040760,1
session.first:false,1.371d9c4794af19d087214a2c8406b33f,1
session.first:false,1.dd6916d3678406ab4f04064b8ba8fb8d,1
session.first:false,1.3bd985d1138a77deaa3de574c59b28c5,1
session.first:false,1.04c82c8ca9b91ea52d59eddfe5528df7,1
session.first:false,1.f54d73c668c4619a65cc50385e9a930b,1
session.first:false,1.a62714005d52faa4ebb6783a56aafd57,1
session.first:false,1.df866848d2baf71695f7c2889170a8e3,1
session.first:false,1.5ea26292adbe4ff7c97ad0332b9683e9,1
session.first:false,1.23a0a7b0eb6c06b52e563f0d573427bb,1
session.first:false,1.824de37f99b1901e650f4747ceb3781f,1
session.first:false,1.71c73b78ae1753946ab2d8c54da60fb4,1
session.first:false,1.b9203386d7689bfa5c05b0fe627b40a2,1
session.first:false,1.9cd50373c01d7ce35950eb545a39934d,1
session.first:false,1.ff071c222c1007451aa9e7cf0ebf6e7d,1
session.first:false,1.68a0d8e7eb8c5b1f272cacaf921579b4,1
session.first:false,1.c8cb5b1f589260129a1aff1e8a43f9c6,1
session.first:false,1.5f5e37d1ee9fcef8d909568ce922909d,1
session.first:false,1.3bb5b9159606ac1a137213370b29f909,1
session.first:false,1.ec4d162ea0895e5850821632f48113e3,1
session.first:false,1.8a3304042909a501d23215bee2494fee,1
session.first:false,1.6403938fc2236043fb2c91ed0514ca6c,1
session.first:false,1.6e1aa8e21f0de501e1096ec532bc334c,1
session.first:false,1.e25858da19b4392fb4a47fbb0dd794e7,1
session.first:false,1.cd32bf5b427174295c1ba88b69cc5b2c,1
session.first:false,1.f1745fca9fba97221add5ee507a2b172,1
session.first:false,1.893f741a8c7dbc8a44c8c1b1d9e557d9,1
session.first:false,1.0cb3595fbf8da4a759cd01672372d74a,1
session.first:false,1.b8974200739b7a5eeefa97105d5e36a4,1
session.first:false,1.2fd3e734d9048ac725d6ad5a475b6d54,1
session.first:false,1.cfa2e74b2fa26ad786ccf92c5e6e16d5,1
session.first:false,1.e31fcaa75799ed4cb13b43a0a88e120d,1
session.first:false,1.77b97d07fbfbdfbbc17fcd234f903733,1
session.first:false,1.83d4c0bf2e23c0af4a78e92b595a48e5,1
session.first:false,1.3d1d8f8e08227ef0e51e452bddbf7b96,1
session.first:false,1.1f71e66210fcce21efd31e43de4e256c,1
session.first:false,1.d810f1842c7936cc34e2cdf15ef6bdfa,1
session.first:false,1.b5a36e5c592dbc1f8aacce0bcb3bdeee,1
session.first:false,1.13601ec5478be211889b078e8c4ea7f2,1
session.first:false,1.77dadc4702fd18b6da2fc66077c079cd,1
session.first:false,1.4455b02764de20b1a74d728a34101e16,1
session.first:false,1.358ecd27bc32ce34c130ecb12fcbb2f0,1
session.first:false,1.2959ebc6afd64e6db2cab3b70a02428b,1
session.first:false,1.7defabeb7f3f89a2468db410137b5baf,1
session.first:false,1.e9b343f006d6986e8332a9cb72fd059d,1
