filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.6afcd98d601c7d9581303f8cd8275c65,1
session.first:true,1.e22c161cea2e004af5c6b765c41c285e,1
session.first:true,1.22017b8fd714f380bbb56cabe72bc2de,1
session.first:true,1.a08570d6fe409a4986b07bd96db9d8f0,1
session.first:true,1.05ae1c7d8e3ac78bb36ed65dd779b448,1
session.first:true,1.73f9101661c315caabcea3cb569eb6e8,1
session.first:true,1.69e975e5d52d6cbbaa794771fe6d518b,1
session.first:true,1.3ad15b6763104fe0038893d554487b4e,1
session.first:true,1.6643494566495bb5153b268d131707d8,1
session.first:true,1.d414c6c6d9080c19570c361c26ecb5b9,1
session.first:true,1.d98e0ce6e05a345679935a60f9db6855,1
session.first:true,1.56f5227ca575176cdce7ff857dbf3b90,1
session.first:true,1.9beb936120957fdc4692b10b1d3bd1c3,1
session.first:true,1.835d96134320f949a5137b6ca065ec9e,1
session.first:true,1.cab71da7bd72ad979c7372d3d1df8732,1
session.first:true,1.8975b6ea148df757636ad66a453f7b56,1
session.first:true,1.58812d47db2dd0697ac48d5ef80cc635,1
session.first:true,1.a18eacff1a7825adaffefa62f1b57b6b,1
session.first:true,1.aad242f9483e8db0c4df8f91726c7ec5,1
session.first:true,1.8308e2e73e21bbaaf2f4265aac05b8a7,1
session.first:true,1.5a4a1947ccbac3aee4a4f57828ba528f,1
session.first:true,1.608148de7edf9cb19fbeb27962e90edc,1
session.first:true,1.ac5872431dc0a21996d404bbb1056937,1
session.first:true,1.1ec3bd1a1cf7f2fce00a83093e889238,1
session.first:true,1.124ba8a16c49f0a6c9130ffe954cafeb,1
session.first:true,1.65a8b21dac96f714633113a6c89d4a73,1
session.first:true,1.b122cde23bf2b475a30b367c643e1cda,1
session.first:true,1.a4e77640b03ac060efcc2a075ea0fa7e,1
session.first:true,1.e4b265992ec51d849749c454434736f9,1
session.first:true,1.fd7e990d9feba8f78d1615e186283eb6,1
session.first:true,1.7b90536b608e9fb89299ad10207fd556,1
session.first:true,1.449eb3269124bba9f6e387193245efeb,1
session.first:true,1.a790661abe42abaf35e0cde40b30106f,1
session.first:true,1.8e840b4bc347aebacf75033b48dae95c,1
session.first:true,1.86323ff77cb80c53d7cd8bad17d10735,1
session.first:true,1.b31ad4f1088040eac773250b689a3b16,1
session.first:true,1.21e7aefb39f6bcb83384e06a2d0165f3,1
session.first:true,1.286dcb896fea99ab486b444c522690e4,1
session.first:true,1.f66398abc3051819f406584e7150183c,1
session.first:true,1.5e326fa9a3c4778a3e3cadddf602b82f,1
session.first:true,1.5abbac507cb6d518716d417680fd24bb,1
session.first:true,1.c641b37d5cdfff0256d0d1a29a65d041,1
session.first:true,1.30123ff45bb136c57a7be7350cbebc46,1
session.first:true,1.ac0ef72dc6288401a1d0fca2536a2ff1,1
session.first:true,1.8c7170f623911dafca0026ca3fbc34a2,1
session.first:true,1.9eb5a6febd25801f2c2632b9d38223d9,1
session.first:true,1.0b0009b595f5f588e482aee82e622586,1
session.first:true,1.2b0e3c4abca0884784cc701bb9bd96d6,1
session.first:true,1.992a83bf6f62b89bcc80be912e622ddd,1
session.first:true,1.a265fc54db06b0965f8b3c8d7574d0fc,1
session.first:true,1.caa593d4871f50f8266c846b8984197a,1
session.first:true,1.11fd2244cb8e70dacdf184c484d61f1b,1
session.first:true,1.f77b95a54496d943ae89dbebbda08653,1
session.first:true,1.d39552937a55e29ec9ea983d268c83ec,1
session.first:true,1.2d01b98608fff352223bcd67cb569b52,1
session.first:true,1.ff15d24660e90b1225c989dea97e246c,1
session.first:true,1.da9faa3da624d76e047c64e12e3fc63a,1
session.first:true,1.6ea6911edc631b1a5aa5dad3acff6243,1
session.first:true,1.a9aa4a1f43a1ee0ca0172276b1076c6d,1
session.first:true,1.822414f13219de1a6fdbdb106b4f1db3,1
session.first:true,1.5fec066fc5fb441e960b5e26fcc968e2,1
session.first:true,1.a1698daaa26ba1f8ea9200da1c06570f,1
session.first:true,1.16e470faa040c1accfed5e3855cb1764,1
session.first:true,1.f854c393223b5697f6b4fdedb40fe9bb,1
session.first:true,1.8343b75c97504728eda1894995faddb7,1
session.first:true,1.eedf77a86ceddbbecbe5d6025f39c4e0,1
session.first:true,1.89190d06cc5b22f04e3e0e5df61a85ab,1
session.first:true,1.a6bb2859c6a72afd1914c43dd71ae94b,1
session.first:true,1.1ee2d3b2c916611fe2563b94e90e6595,1
session.first:true,1.2fc280fc391206933d09a811e0ad7186,1
session.first:true,1.b14c722a4dffb39fbb5d41300dac1680,1
session.first:true,1.a9202a40762ff21430f2ebfa34048c99,1
