filters,Top 50000000 fingerprint.raw,Count
session.first:false,1.a7f6150b5998a753c241a387f57fe5fb,13
session.first:false,1.db8d13c50b1ec738a850425c8c3eba96,13
session.first:false,1.e28d23db9f443a456133f30a7e8b7f2f,13
session.first:false,1.1c1b03484ada8b414f074f9a706998b5,12
session.first:false,1.51cb06fefb84b84b252f7b1378e0b9ff,12
session.first:false,1.922a074e764a0ad6056d02e7eb1eb961,12
session.first:false,1.946b359213c562d2be57563d3a8ce0de,12
session.first:false,1.aafe89b76e0518275954055446193dc0,12
session.first:false,1.c34944a0439defaccc330e3e353fb90b,12
session.first:false,1.c3765120bdcfdbcb4921bfe160d9f0e1,12
session.first:false,1.ca6e3e5d3be7bf88fb673b85c55ea012,12
session.first:false,1.e3119cefd4d9e9ee42f0ba0fda81ad57,12
session.first:false,1.ee617c491bf5bade5538feb06e61d128,12
session.first:false,1.03fc1cd3041554c25562cff33bec4446,11
session.first:false,1.0bf64d4b21ffe071e6e24725b7571d32,11
session.first:false,1.1cb087e5fc492a78dd663ae4fcfc1ded,11
session.first:false,1.249f08cf1092a2417a9ee940016246bc,11
session.first:false,1.273ca69b7e4b9db5ceab87fbae740b7d,11
session.first:false,1.2776f2e5034ddfa70b78dc352c5c2690,11
session.first:false,1.27e79ae1885517cb8766b1afbc2a322b,11
session.first:false,1.3193398ec1898c0b3ae1c432c8d2332a,11
session.first:false,1.3f51e51fe44326b59e287709ef452e7d,11
session.first:false,1.531bcf02c7aa26db2589cd771e52660d,11
session.first:false,1.54df2b8c1b7ba144de95c2b6354a74b1,11
session.first:false,1.5ea667902c2de13cda928a6adcaf4937,11
session.first:false,1.7e7dce8ad0079276ca0fbf63523b9f62,11
session.first:false,1.867b5966ebdba1dcab87c21b375c73e2,11
session.first:false,1.b4b0150105cdb14865e65c9190a4b3f9,11
session.first:false,1.c5daffc89bf101196bd09038ca080956,11
session.first:false,1.da12e33cbe1e1560c9d3bbbf3907a4c7,11
session.first:false,1.dea1283d6334fbf56a4f7279c93db4ad,11
session.first:false,1.df5e47dcfec9951fa633c6dc058479bd,11
session.first:false,1.e7764db3175594f19a26cacc0afe479d,11
session.first:false,1.1497b7a0febb286b748f9837bf8a2291,10
session.first:false,1.25ded92c942499b80a5842ac9201a61b,10
session.first:false,1.2fac329ed96be499d3a7de507a824ea7,10
session.first:false,1.30ee919c623573bb464ad6ab6613d2dc,10
session.first:false,1.3641323197d9bb0c79e522e51cef05ac,10
session.first:false,1.383f03d440d436812ef9647165ab3b1f,10
session.first:false,1.485f294d4448edbcc9e0e17ded191b41,10
session.first:false,1.49f937863316bade79b56191aab14cb1,10
session.first:false,1.4a52567b5e8f8c002b6dd7c6de0d3cd8,10
session.first:false,1.5f2b8c2cf9f1a438f0265e52f97535d2,10
session.first:false,1.726863cf2530e3300d857747958cdd4f,10
session.first:false,1.7398a6bc016881142d653b1970ada89e,10
session.first:false,1.79b5995e9a15f170c13b321f8ecb6311,10
session.first:false,1.8470a979235beb75d44ec87bb937c865,10
session.first:false,1.8824f2d637bfe08747990ba397adc824,10
session.first:false,1.9eb05e3c92970754f35f2fcf23d29996,10
session.first:false,1.ceb8665dd956861da4f90adaa1ef9ba0,10
session.first:false,1.dcadfc18a99ca09be77df97bb5589a49,10
session.first:false,1.fb632c9fe6d1b734b8033ced79ada5b8,10
session.first:false,1.058de552939f8fb7d0219c7d5eab6b49,9
session.first:false,1.06aa8a8f0e4076ad0ec40d8c1a05fa94,9
session.first:false,1.06f70e185d31ade7c74c04579af1e7a1,9
session.first:false,1.0c277512b8ea87f8d62b5485b1d26100,9
session.first:false,1.0f3ab3d46dbd3ce21389405fd49494ed,9
session.first:false,1.11fd21ced0427a6442f19d820dc2a0fe,9
session.first:false,1.1218d3b44e0530d38801a1bbc97096b8,9
session.first:false,1.1c47f4183b5aa3a2a258f3b77ded3bdc,9
session.first:false,1.203248128e989a0ed67b09d7cc7b3d86,9
session.first:false,1.224168bdd2b81fbc29301ce1fa939466,9
session.first:false,1.47de4330265f184348a0ca567fab1e65,9
session.first:false,1.4e31543b4ca2a9f2f57623314abc1d12,9
session.first:false,1.55ce4afa069a0314af9e23784bc6d48d,9
session.first:false,1.5e3e650d3a23237d96f3ad09c5c95f12,9
session.first:false,1.622685429b8bb76b0911421bd0827fb9,9
session.first:false,1.66daffd7f8ae95067007f196c54c0f05,9
session.first:false,1.6da6981f78a2509ccfaa73859bef67e5,9
session.first:false,1.7a696258e241db0da4b2286cea67d227,9
session.first:false,1.985830704cc4aeeba195f6b11ffe37c1,9
session.first:false,1.a46c5e88977f3dfb08c57d3bc51094f9,9
session.first:false,1.bc0c65c0f1f8d42a682e7294c33e7097,9
session.first:false,1.bdcc840c6c1697fe486062a7f04f60db,9
session.first:false,1.c52893d30816538642f58e76932e6dcd,9
session.first:false,1.d785fe0791af44d87d8c2fea0f483eec,9
session.first:false,1.eaafb57970c8d67e257274686ea2a8ca,9
session.first:false,1.eaf2a174f4ec8394294652b464c6d364,9
session.first:false,1.0420e21c7b127fc050b775725abb6b51,8
session.first:false,1.078b2f758be5cfb6b18c72d05e1d9027,8
session.first:false,1.08a51b7ebe7c4256bb8b90c64898e840,8
session.first:false,1.0b5a7edede57a240951d9f5f57e4a23c,8
session.first:false,1.0cb3595fbf8da4a759cd01672372d74a,8
session.first:false,1.105d270d53cf5aef9884552095f4613a,8
session.first:false,1.126248ef4d4768ba55c5e062ca866c04,8
session.first:false,1.13f3a895a6e0ed2b7cdb330ad331fd58,8
session.first:false,1.1f875d2c05a9b6f6e23802a029fd0d74,8
session.first:false,1.284cd30e39843520d2e3cfe2064bf4b6,8
session.first:false,1.2a2dd0a7f32e41720a98d3d38c36cd54,8
session.first:false,1.2bcdeb6f1d42ce43d63f7f5b59c3c0f5,8
session.first:false,1.2c0504eba163b70ba6808cc2ed201a0e,8
session.first:false,1.38714acd158857b46d806cc1b19dcc2e,8
session.first:false,1.44504248686f5ec2c6bec1f278aa8b0e,8
session.first:false,1.461bd312b8a0e8827f4860c4652211db,8
session.first:false,1.4d2467dff8ca9dd95a63b5724e211fc0,8
session.first:false,1.597d54ec120d8f910cc505acfabbe0aa,8
